Dougherty, GA,10227,23224,474
Douglas, GA,24803,30971,1591
Early, GA,2552,2165,65
Echols, GA,1006,156,13
Effingham, GA,17865,4851,679
Elbert, GA,5269,2507,136
Emanuel, GA,5330,2433,75
Evans, GA,2404,1130,68
Fannin, GA,9622,1920,222
Fayette, GA,35034,23255,2098
Floyd, GA,24045,9127,1078
Forsyth, GA,69801,23427,4086
Franklin, GA,7054,1243,177
Fulton, GA,110372,281875,14926
Gilmer, GA,10465,1955,293
Glascock, GA,1235,138,17
Glynn, GA,21482,11738,821
Gordon, GA,15171,3176,503
Grady, GA,6047,3005,135
Greene, GA,5488,3194,149
Gwinnett, GA,146463,165063,12405
Habersham, GA,13184,2483,461
Hall, GA,51681,16153,2299
Hancock, GA,841,2695,36
Haralson, GA,9579,1474,264
Harris, GA,11931,4082,379
Hart, GA,7285,2583,209
Heard, GA,3370,743,93
Henry, GA,45641,49902,2494
Houston, GA,35351,22460,1748
Irwin, GA,2711,890,58
Jackson, GA,21754,4469,834
Jasper, GA,4353,1544,119
Jeff Davis, GA,4102,901,86
Jefferson, GA,3057,3809,68
Jenkins, GA,1892,1108,34
Johnson, GA,2519,1136,27
Jones, GA,8304,3960,260
Lamar, GA,5183,2267,125
Lanier, GA,1984,805,72
Laurens, GA,12401,6737,310
Lee, GA,10641,3166,299
Liberty, GA,6125,9531,426
Lincoln, GA,2759,1271,70
Long, GA,2623,1356,130
Lowndes, GA,21308,14614,891
Lumpkin, GA,9613,2216,495
Macon, GA,1540,2705,42
Macon, GA,1540,2705,42
Madison, GA,9195,2423,327
Marion, GA,1921,1213,49
McDuffie, GA,5432,3699,137
McIntosh, GA,3482,2298,113
Meriwether, GA,5216,3800,165
Miller, GA,1888,622,30
Mitchell, GA,4272,3492,93
Monroe, GA,8821,3570,284
Montgomery, GA,2668,847,45
Morgan, GA,6559,2658,218
Murray, GA,10340,1799,283
Muscogee, GA,26901,39602,1817
Newton, GA,20907,21936,944
Oconee, GA,12885,5253,892
Oglethorpe, GA,4622,1829,199
Paulding, GA,44646,18004,1951
Peach, GA,5405,5083,211
Pickens, GA,11651,1977,354
Pierce, GA,6301,903,93
Pike, GA,7273,1239,163
Polk, GA,11006,2863,289
Pulaski, GA,2436,1104,58
Putnam, GA,6516,2745,170
Quitman, GA,575,461,8
Rabun, GA,6287,1443,219
Randolph, GA,1270,1597,28
Richmond, GA,24441,48707,1804
Rockdale, GA,13463,23206,920
Schley, GA,1472,401,36
Screven, GA,3305,2300,94
Seminole, GA,2343,1186,48
Spalding, GA,15636,9347,957
Stephens, GA,7682,1835,243
Stewart, GA,805,1220,28
Sumter, GA,5275,5520,178
Talbot, GA,1196,2001,46
Taliaferro, GA,349,545,3
Tattnall, GA,5092,1678,109
Taylor, GA,2062,1295,45
Taylor, GA,2062,1295,45
Telfair, GA,2449,1313,32
Terrell, GA,1872,2267,40
Thomas, GA,11225,7138,367
Tift, GA,8680,3892,224
Toombs, GA,6612,2338,158
Towns, GA,5377,1206,143
Treutlen, GA,1808,860,32
Troup, GA,15643,9597,553
Turner, GA,2094,1243,53
Twiggs, GA,2034,1970,49
Union, GA,9849,1962,228
Upson, GA,7288,3471,165
Walker, GA,18938,4213,788
Walton, GA,31093,8279,1053
Ware, GA,8508,3436,206
Warren, GA,991,1313,28
Washington, GA,4138,4187,97
Wayne, GA,8147,2039,190
Webster, GA,630,471,13
Wheeler, GA,1421,646,35
White, GA,9751,1672,348
Whitfield, GA,21514,7925,923
Wilcox, GA,2096,852,25
Wilkes, GA,2569,1844,57
Wilkinson, GA,2332,1893,51
Worth, GA,6144,2015,107
Adair, IA,2456,1127,176
Adams, IA,1393,565,124
Allamakee, IA,4072,2409,356
Appanoose, IA,4031,1813,252
Audubon, IA,2135,1079,165
Benton, IA,8226,4672,792
Black Hawk, IA,27382,32006,3833
Boone, IA,7458,5517,1009
Bremer, IA,7199,5349,802
Buchanan, IA,5504,3966,667
Buena Vista, IA,4895,2851,433
Butler, IA,4918,2163,376
Calhoun, IA,3466,1396,243
Carroll, IA,6627,3305,503
Cass, IA,4755,1946,354
Cedar, IA,5275,3578,533
Cerro Gordo, IA,11583,9840,1210
Cherokee, IA,4188,1676,322
Chickasaw, IA,3739,2264,364
Clarke, IA,2706,1463,236
Clay, IA,5870,2246,426
Clayton, IA,5309,3236,553
Clinton, IA,11249,10079,1420
Crawford, IA,4608,1985,269
Dallas, IA,19288,15662,2667
Davis, IA,2721,976,161
Decatur, IA,2296,1201,206
Delaware, IA,5688,2956,521
Des Moines, IA,9479,8178,1056
Dickinson, IA,6743,3051,453
Dubuque, IA,23384,22774,2879
Emmet, IA,3121,1356,230
Fayette, IA,5591,3666,556
Floyd, IA,4371,3177,437
Franklin, IA,3153,1490,272
Fremont, IA,2401,959,194
Greene, IA,2819,1688,255
Grundy, IA,4516,1847,403
Guthrie, IA,3603,1720,331
Hamilton, IA,4450,2715,424
Hancock, IA,3972,1582,261
Hardin, IA,5231,2774,418
Harrison, IA,4892,2123,363
Henry, IA,5764,2897,625
Howard, IA,2611,1674,222
Humboldt, IA,3564,1251,218
Ida, IA,2655,792,143
Iowa, IA,5193,3070,526
Jackson, IA,5821,3837,546
Jasper, IA,10556,7108,1112
Jefferson, IA,3738,3702,561
Johnson, IA,20993,49942,4702
Jones, IA,5718,3779,514
Keokuk, IA,3385,1265,208
Kossuth, IA,5637,2529,339
Lee, IA,8762,6195,936
Linn, IA,48183,58481,8000
Louisa, IA,3060,1643,240
Lucas, IA,2873,1236,188
Lyon, IA,5188,917,231
Madison, IA,5336,2666,521
Mahaska, IA,7404,2606,484
Marion, IA,10940,5469,1145
Marshall, IA,9125,7623,952
Mills, IA,5050,2080,478
Mitchell, IA,3180,1879,301
Monona, IA,3115,1244,166
Monroe, IA,2635,1053,156
Montgomery, IA,3431,1312,255
Muscatine, IA,9549,8284,1253
O'Brien, IA,5735,1314,299
Osceola, IA,2528,552,117
Page, IA,4875,1801,292
Palo Alto, IA,3079,1395,200
Plymouth, IA,9659,2878,520
Pocahontas, IA,2692,962,177
Polk, IA,93421,119671,15328
Pottawattamie, IA,24441,15341,2444
Poweshiek, IA,4936,4272,485
Ringgold, IA,1820,753,111
Sac, IA,3692,1269,197
Scott, IA,39083,40302,5493
Shelby, IA,4340,1649,281
Sioux, IA,14761,2289,939
Story, IA,19111,25085,4714
Tama, IA,4968,3194,474
Taylor, IA,2108,755,140
Union, IA,3521,1920,327
Van Buren, IA,2524,843,159
Wapello, IA,8710,5591,695
Warren, IA,14773,10371,1772
Washington, IA,6170,3938,716
Wayne, IA,2069,719,133
Webster, IA,10049,6293,897
Winnebago, IA,3437,1920,360
Winneshiek, IA,5332,5238,647
Woodbury, IA,24627,16102,2204
Worth, IA,2443,1523,250
Wright, IA,3790,1890,269
Ada, ID,93748,75676,26163
Adams, ID,1556,415,212
Bannock, ID,17180,10342,5883
Bear Lake, ID,2203,255,470
Benewah, ID,3101,780,311
Bingham, ID,10907,2924,2794
Blaine, ID,3340,6416,967
Boise, ID,2673,777,362
Bonner, ID,10220,5140,1455
Bonneville, ID,26699,8930,8583
Boundary, ID,3789,933,428
Butte, ID,914,160,156
Camas, ID,410,110,79
Canyon, ID,46755,16683,8569
Caribou, ID,2275,271,489
Cassia, ID,5949,1036,1193
Clark, ID,203,44,36
Clearwater, ID,2852,704,245
Custer, ID,1777,427,209
Elmore, ID,5816,1814,889
Franklin, ID,3901,385,1213
Fremont, ID,4091,651,972
Gem, ID,5980,1229,743
Gooding, ID,3743,930,518
Idaho, ID,6441,1196,586
Jefferson, ID,8436,976,2059
Jerome, ID,7347,2117,1203
Kootenai, ID,44449,16264,5573
Latah, ID,7255,8093,2798
Lemhi, ID,3011,733,324
Lewis, ID,1202,270,118
Lincoln, ID,1184,360,204
Madison, ID,8941,1201,5545
Minidoka, ID,4887,1167,816
Nez Perce, ID,10699,4828,1668
Oneida, ID,1531,184,353
Owyhee, ID,3052,591,277
Payette, ID,4306,892,505
Power, ID,1666,699,393
Shoshone, ID,3297,1384,439
Teton, ID,2161,2157,648
Twin Falls, ID,21063,6844,3986
Valley, ID,2906,1913,530
Washington, ID,3283,776,395
Adams, IL,22732,7633,1405
Alexander, IL,1496,1262,62
Bond, IL,4884,2066,512
Boone, IL,12261,8952,1391
Brown, IL,1776,475,85
Bureau, IL,9264,6010,1029
Calhoun, IL,1719,739,98
Carroll, IL,4428,2437,489
Cass, IL,3216,1617,221
Champaign, IL,33235,49694,6267
Christian, IL,10522,3982,806
Clark, IL,5620,1873,326
Clay, IL,5009,1014,255
Clinton, IL,12394,3939,935
Coles, IL,12985,7285,1310
Cook, IL,440213,1528582,86420
Crawford, IL,6146,1969,392
Cumberland, IL,4200,1028,285
De Witt, IL,5072,1907,490
DeKalb, IL,19051,20348,3206
Douglas, IL,5695,1946,448
DuPage, IL,164355,222499,26075
Edgar, IL,5634,1778,371
Edwards, IL,2777,432,103
Effingham, IL,13613,3071,744
Fayette, IL,7363,1814,338
Ford, IL,4474,1410,405
Franklin, IL,13101,4711,721
Fulton, IL,8482,6118,1009
Gallatin, IL,1942,656,93
Greene, IL,4139,1202,201
Grundy, IL,13417,8021,1453
Hamilton, IL,3205,800,138
Hancock, IL,5713,1744,361
Hardin, IL,1650,419,64
Henderson, IL,2153,1151,176
Henry, IL,13962,8835,1435
Iroquois, IL,9728,2496,699
Jackson, IL,10889,11619,2001
